I, [2017-01-26T11:05:43.858573 #23669]  INFO -- Kitchen: -----> Starting Kitchen (v1.14.2)
E, [2017-01-26T11:05:43.858906 #23669] ERROR -- Kitchen: ------Exception-------
E, [2017-01-26T11:05:43.858938 #23669] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-01-26T11:05:43.858960 #23669] ERROR -- Kitchen: Message: Kitchen YAML file /Users/dyanakiev-c/Projects/Chef/learn-kitchen/.kitchen.yml does not exist.
E, [2017-01-26T11:05:43.859013 #23669] ERROR -- Kitchen: ----------------------
E, [2017-01-26T11:05:43.859026 #23669] ERROR -- Kitchen: ------Backtrace-------
E, [2017-01-26T11:05:43.859035 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-01-26T11:05:43.859044 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:152:in `data'
E, [2017-01-26T11:05:43.859053 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:131:in `suites'
E, [2017-01-26T11:05:43.859062 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-01-26T11:05:43.859071 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-01-26T11:05:43.859079 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:117:in `instances'
E, [2017-01-26T11:05:43.859088 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-01-26T11:05:43.859096 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-01-26T11:05:43.859105 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-01-26T11:05:43.859113 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-01-26T11:05:43.859121 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/action.rb:34:in `call'
E, [2017-01-26T11:05:43.859130 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:53:in `perform'
E, [2017-01-26T11:05:43.859138 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-01-26T11:05:43.859146 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2017-01-26T11:05:43.859155 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-01-26T11:05:43.859163 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-01-26T11:05:43.859172 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
E, [2017-01-26T11:05:43.859180 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/base.rb:444:in `start'
E, [2017-01-26T11:05:43.859189 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-01-26T11:05:43.859197 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-01-26T11:05:43.859205 #23669] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `<top (required)>'
E, [2017-01-26T11:05:43.859214 #23669] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `load'
E, [2017-01-26T11:05:43.859222 #23669] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `<main>'
E, [2017-01-26T11:05:43.859241 #23669] ERROR -- Kitchen: ----End Backtrace-----
